"Path","Name","Folder","Type","Length"
"sprint-116-workspace-ux-optimization.md","sprint-116-workspace-ux-optimization.md","docs","sprint","4770"
"sprint-117-opmodel-discovery-audit.md","sprint-117-opmodel-discovery-audit.md","docs","sprint","16186"
"sprint-118-import-pipeline-hardening.md","sprint-118-import-pipeline-hardening.md","docs","sprint","6667"
"sprint-119-universal-document-operational-mapping-layer.md","sprint-119-universal-document-operational-mapping-layer.md","docs","sprint","7712"
"sprint-121-universal-document-segmentation-layer-certification.md","sprint-121-universal-document-segmentation-layer-certification.md","docs","sprint","4559"
"sprint-122-universal-operational-relationship-resolver-certification.md","sprint-122-universal-operational-relationship-resolver-certification.md","docs","sprint","4956"
"sprint-123-universal-import-pipeline-diagnostics-and-observability-certification.md","sprint-123-universal-import-pipeline-diagnostics-and-observability-certification.md","docs","sprint","4191"
"sprint-124-universal-document-pattern-recognition-layer-certification.md","sprint-124-universal-document-pattern-recognition-layer-certification.md","docs","sprint","11579"
"sprint-125-universal-document-anatomy-and-operational-intelligence-layer-certification.md","sprint-125-universal-document-anatomy-and-operational-intelligence-layer-certification.md","docs","sprint","14805"
"sprint-126-universal-import-system-architectural-audit-and-simplification-certification.md","sprint-126-universal-import-system-architectural-audit-and-simplification-certification.md","docs","sprint","21820"
"sprint-127-universal-import-system-architectural-consolidation-certification.md","sprint-127-universal-import-system-architectural-consolidation-certification.md","docs","sprint","9691"
"sprint-128-business-document-structure-engine-certification.md","sprint-128-business-document-structure-engine-certification.md","docs","sprint","8521"
"sprint-131-persistence-contract-alignment-certification.md","sprint-131-persistence-contract-alignment-certification.md","docs","sprint","6443"
"sprint-131.2-persistence-boundary-recovery-certification.md","sprint-131.2-persistence-boundary-recovery-certification.md","docs","sprint","7932"
"sprint-131.3-operational-default-values-resolution-layer-certification.md","sprint-131.3-operational-default-values-resolution-layer-certification.md","docs","sprint","6901"
"sprint-131.4-operational-defaults-rules-refinement-certification.md","sprint-131.4-operational-defaults-rules-refinement-certification.md","docs","sprint","5071"
"sprint-131.5-operational-lot-resolution-engine-certification.md","sprint-131.5-operational-lot-resolution-engine-certification.md","docs","sprint","4445"
"sprint-131.6-traceable-products-lot-assignment-rules-certification.md","sprint-131.6-traceable-products-lot-assignment-rules-certification.md","docs","sprint","4169"
"sprint-131.7-optional-lot-persistence-contract-certification.md","sprint-131.7-optional-lot-persistence-contract-certification.md","docs","sprint","3508"
"sprint-131.8-universal-lot-recognition-normalization-rules-certification.md","sprint-131.8-universal-lot-recognition-normalization-rules-certification.md","docs","sprint","4409"
"sprint-131.9-operational-intelligence-completion-layer-certification.md","sprint-131.9-operational-intelligence-completion-layer-certification.md","docs","sprint","4910"
"sprint-132-runtime-record-lifecycle-governance-audit.md","sprint-132-runtime-record-lifecycle-governance-audit.md","docs","sprint","19055"
"sprint-132.1-operational-record-actions-governance-audit.md","sprint-132.1-operational-record-actions-governance-audit.md","docs","sprint","18516"
"sprint-132.1A-operational-runtime-governance-lifecycle-semantics-audit.md","sprint-132.1A-operational-runtime-governance-lifecycle-semantics-audit.md","docs","sprint","42701"
"sprint-132.1b-delete-pipeline-performance-audit.md","sprint-132.1b-delete-pipeline-performance-audit.md","docs","sprint","17297"
"sprint-132.1c-persistence-layer-bulk-operations-governance.md","sprint-132.1c-persistence-layer-bulk-operations-governance.md","docs","sprint","19406"
"sprint-132.1d-universal-bulk-operations-certification.md","sprint-132.1d-universal-bulk-operations-certification.md","docs","sprint","6677"
"sprint-132.2-universal-pagination-certification.md","sprint-132.2-universal-pagination-certification.md","docs","sprint","5402"
"sprint-132.2a-import-pipeline-audit-certification.md","sprint-132.2a-import-pipeline-audit-certification.md","docs","sprint","13814"
"sprint-132.3-dispatch-lot-resolution-pdf-evidence-audit.md","sprint-132.3-dispatch-lot-resolution-pdf-evidence-audit.md","docs","sprint","30897"
"sprint-132.4-dispatch-lot-resolution-ssot-unification-certification.md","sprint-132.4-dispatch-lot-resolution-ssot-unification-certification.md","docs","sprint","13521"
"sprint-132.5-dispatch-lot-runtime-rendering-traceability-certification.md","sprint-132.5-dispatch-lot-runtime-rendering-traceability-certification.md","docs","sprint","17341"
"sprint-132.6-universal-operational-runtime-action-visibility-responsive-ux-certification.md","sprint-132.6-universal-operational-runtime-action-visibility-responsive-ux-certification.md","docs","sprint","9391"
"sprint-132.7-configuration-workspace-performance-audit-certification.md","sprint-132.7-configuration-workspace-performance-audit-certification.md","docs","sprint","8822"
"sprint-132.8-configuration-workspace-performance-optimization-certification.md","sprint-132.8-configuration-workspace-performance-optimization-certification.md","docs","sprint","9245"
"sprint-132.9-module-workspace-performance-audit-certification.md","sprint-132.9-module-workspace-performance-audit-certification.md","docs","sprint","21524"
"sprint-133.0-module-workspace-lightweight-read-pipeline-certification.md","sprint-133.0-module-workspace-lightweight-read-pipeline-certification.md","docs","sprint","12977"
"sprint-134.0-operational-intelligence-dashboard-architecture-certification.md","sprint-134.0-operational-intelligence-dashboard-architecture-certification.md","docs","sprint","29535"
"sprint-135.0-sgcdm-product-vision-operational-intelligence-core-certification.md","sprint-135.0-sgcdm-product-vision-operational-intelligence-core-certification.md","docs","sprint","34687"
"sprint-136.0-periodicity-layer-core-operational-capability-certification.md","sprint-136.0-periodicity-layer-core-operational-capability-certification.md","docs","sprint","14626"
"sprint-137.0-operational-intelligence-center-core-architecture-certification.md","sprint-137.0-operational-intelligence-center-core-architecture-certification.md","docs","sprint","23048"
"sprint-138.0-expiration-engine-core-operational-capability-certification.md","sprint-138.0-expiration-engine-core-operational-capability-certification.md","docs","sprint","25859"
"sprint-138.1-expiration-engine-architectural-governance-addendum.md","sprint-138.1-expiration-engine-architectural-governance-addendum.md","docs","sprint","6730"
"sprint-138.2-expiration-engine-final-architectural-refinements.md","sprint-138.2-expiration-engine-final-architectural-refinements.md","docs","sprint","6815"
"sprint-138.3-expiration-engine-core-governance-closure-addendum.md","sprint-138.3-expiration-engine-core-governance-closure-addendum.md","docs","sprint","5704"
"sprint-138.4-expiration-engine-contracts-policy-layer-governance-certification.md","sprint-138.4-expiration-engine-contracts-policy-layer-governance-certification.md","docs","sprint","10299"
"sprint-138.5-expiration-engine-capability-interface-event-governance-certification.md","sprint-138.5-expiration-engine-capability-interface-event-governance-certification.md","docs","sprint","8421"
"sprint-138.6-expiration-engine-final-core-governance-closure-certification.md","sprint-138.6-expiration-engine-final-core-governance-closure-certification.md","docs","sprint","10551"
"sprint-138.6a-expiration-engine-universal-capability-interface-core-infrastructure-alignment.md","sprint-138.6a-expiration-engine-universal-capability-interface-core-infrastructure-alignment.md","docs","sprint","10948"
"sprint-138.6b-expiration-engine-capability-input-contract-governance-certification.md","sprint-138.6b-expiration-engine-capability-input-contract-governance-certification.md","docs","sprint","4694"
"sprint-139-compliance-engine-core-architecture-certification.md","sprint-139-compliance-engine-core-architecture-certification.md","docs","sprint","9301"
"sprint-139.0a-compliance-engine-domain-model-refinement-certification.md","sprint-139.0a-compliance-engine-domain-model-refinement-certification.md","docs","sprint","7371"
"sprint-139.0b-compliance-engine-evaluation-domain-intelligence-governance-certification.md","sprint-139.0b-compliance-engine-evaluation-domain-intelligence-governance-certification.md","docs","sprint","6832"
"sprint-139.0c-compliance-engine-capability-isolation-input-governance-certification.md","sprint-139.0c-compliance-engine-capability-isolation-input-governance-certification.md","docs","sprint","4798"
"sprint-139.0d-compliance-engine-input-contract-ownership-status-interpretation-governance-certification.md","sprint-139.0d-compliance-engine-input-contract-ownership-status-interpretation-governance-certification.md","docs","sprint","8250"
"sprint-140-indicator-engine-core-architecture-certification.md","sprint-140-indicator-engine-core-architecture-certification.md","docs","sprint","8331"
"sprint-140.0a-indicator-engine-domain-model-refinement-certification.md","sprint-140.0a-indicator-engine-domain-model-refinement-certification.md","docs","sprint","6615"
"sprint-140.0b-indicator-engine-evaluation-domain-intelligence-governance-certification.md","sprint-140.0b-indicator-engine-evaluation-domain-intelligence-governance-certification.md","docs","sprint","4171"
"sprint-140.0c-indicator-engine-capability-isolation-input-governance-certification.md","sprint-140.0c-indicator-engine-capability-isolation-input-governance-certification.md","docs","sprint","5404"
"sprint-140.0d-indicator-engine-input-contract-ownership-status-interpretation-governance-certification.md","sprint-140.0d-indicator-engine-input-contract-ownership-status-interpretation-governance-certification.md","docs","sprint","7078"
"sprint-141-expiration-engine-core-architecture-certification.md","sprint-141-expiration-engine-core-architecture-certification.md","docs","sprint","7845"
"sprint-141.0a-expiration-engine-domain-model-refinement-certification.md","sprint-141.0a-expiration-engine-domain-model-refinement-certification.md","docs","sprint","6424"
"sprint-141.0b-expiration-engine-evaluation-domain-intelligence-governance-certification.md","sprint-141.0b-expiration-engine-evaluation-domain-intelligence-governance-certification.md","docs","sprint","6018"
"sprint-141.0c-expiration-engine-capability-isolation-input-governance-certification.md","sprint-141.0c-expiration-engine-capability-isolation-input-governance-certification.md","docs","sprint","5486"
"sprint-141.0d-expiration-engine-input-contract-ownership-status-interpretation-governance-certification.md","sprint-141.0d-expiration-engine-input-contract-ownership-status-interpretation-governance-certification.md","docs","sprint","7149"
"sprint-142-compliance-engine-core-architecture-certification.md","sprint-142-compliance-engine-core-architecture-certification.md","docs","sprint","8106"
"sprint-142.0a-compliance-engine-domain-model-refinement-certification.md","sprint-142.0a-compliance-engine-domain-model-refinement-certification.md","docs","sprint","6646"
"sprint-142.0c-compliance-engine-capability-isolation-input-governance-certification.md","sprint-142.0c-compliance-engine-capability-isolation-input-governance-certification.md","docs","sprint","5517"
"sprint-142.0c-r1-compliance-engine-governance-closure-alignment-refinement.md","sprint-142.0c-r1-compliance-engine-governance-closure-alignment-refinement.md","docs","sprint","5737"
"sprint-142.0d-compliance-engine-input-contract-ownership-status-interpretation-governance-certification.md","sprint-142.0d-compliance-engine-input-contract-ownership-status-interpretation-governance-certification.md","docs","sprint","7252"
"sprint-142.r1-compliance-engine-conceptual-model-refinement.md","sprint-142.r1-compliance-engine-conceptual-model-refinement.md","docs","sprint","3861"
"sprint-143.0-operational-score-engine-core-architecture-certification.md","sprint-143.0-operational-score-engine-core-architecture-certification.md","docs","sprint","7303"
"sprint-143.0a-operational-score-engine-domain-model-refinement-certification.md","sprint-143.0a-operational-score-engine-domain-model-refinement-certification.md","docs","sprint","6762"
"sprint-143.0b-operational-score-engine-evaluation-model-domain-intelligence-governance-certification.md","sprint-143.0b-operational-score-engine-evaluation-model-domain-intelligence-governance-certification.md","docs","sprint","5570"
"sprint-143.0c-operational-score-engine-capability-isolation-input-governance-certification.md","sprint-143.0c-operational-score-engine-capability-isolation-input-governance-certification.md","docs","sprint","4809"
"sprint-143.0d-operational-score-engine-input-contract-ownership-status-interpretation-governance-certification.md","sprint-143.0d-operational-score-engine-input-contract-ownership-status-interpretation-governance-certification.md","docs","sprint","6305"
"sprint-143.0d-r1-operational-score-engine-governance-closure-alignment-refinement.md","sprint-143.0d-r1-operational-score-engine-governance-closure-alignment-refinement.md","docs","sprint","5079"
"sprint-143.aud-operational-experiences-capability-reuse-audit.md","sprint-143.aud-operational-experiences-capability-reuse-audit.md","docs","sprint","15883"
"sprint-143.r1-operational-score-engine-architectural-consistency-domain-generalization-refinement.md","sprint-143.r1-operational-score-engine-architectural-consistency-domain-generalization-refinement.md","docs","sprint","5313"
"sprint-144.0-alert-capability-core-capability-certification.md","sprint-144.0-alert-capability-core-capability-certification.md","docs","sprint","7520"
"sprint-144.0a-alert-configuration-domain-certification.md","sprint-144.0a-alert-configuration-domain-certification.md","docs","sprint","7239"
"sprint-144.0a-r1-alert-configuration-domain-governance-alignment-refinement.md","sprint-144.0a-r1-alert-configuration-domain-governance-alignment-refinement.md","docs","sprint","5139"
"sprint-144.0a-r2-alert-configuration-representation-contract-boundary-governance.md","sprint-144.0a-r2-alert-configuration-representation-contract-boundary-governance.md","docs","sprint","4131"
"sprint-144.0b-alert-configuration-contracts-certification.md","sprint-144.0b-alert-configuration-contracts-certification.md","docs","sprint","7442"
"sprint-144.0b-r1-alert-configuration-contracts-governance-compatibility-evolution-refinement.md","sprint-144.0b-r1-alert-configuration-contracts-governance-compatibility-evolution-refinement.md","docs","sprint","4857"
"sprint-144.0c-alert-input-contract-certification.md","sprint-144.0c-alert-input-contract-certification.md","docs","sprint","5314"
"sprint-144.0c-r1-alert-input-contract-governance-evolution-boundary-refinement.md","sprint-144.0c-r1-alert-input-contract-governance-evolution-boundary-refinement.md","docs","sprint","4779"
"sprint-144.0d-alert-capability-final-governance-closure.md","sprint-144.0d-alert-capability-final-governance-closure.md","docs","sprint","7729"
"sprint-144.1-alert-evaluation-domain-certification.md","sprint-144.1-alert-evaluation-domain-certification.md","docs","sprint","4841"
"sprint-144.1-r1-alert-evaluation-domain-governance-evolution-intelligence-boundary-refinement.md","sprint-144.1-r1-alert-evaluation-domain-governance-evolution-intelligence-boundary-refinement.md","docs","sprint","4762"
"sprint-144.2-alert-status-domain-certification.md","sprint-144.2-alert-status-domain-certification.md","docs","sprint","6015"
"sprint-144.2-r1-alert-status-domain-governance-evolution-operational-interpretation-refinement.md","sprint-144.2-r1-alert-status-domain-governance-evolution-operational-interpretation-refinement.md","docs","sprint","5295"
"sprint-144.2a-alert-status-contracts-certification.md","sprint-144.2a-alert-status-contracts-certification.md","docs","sprint","7454"
"sprint-144.2a-r1-alert-status-contracts-governance-evolution-representation-boundary-refinement.md","sprint-144.2a-r1-alert-status-contracts-governance-evolution-representation-boundary-refinement.md","docs","sprint","5541"
"sprint-144.3-capability-events-domain-certification.md","sprint-144.3-capability-events-domain-certification.md","docs","sprint","5857"
"sprint-144.3-r1-capability-events-domain-governance-evolution-event-boundary-refinement.md","sprint-144.3-r1-capability-events-domain-governance-evolution-event-boundary-refinement.md","docs","sprint","5365"
"sprint-144.3a-capability-event-contracts-certification.md","sprint-144.3a-capability-event-contracts-certification.md","docs","sprint","7589"
"sprint-144.3a-r1-capability-event-contracts-governance-evolution-representation-boundary-refinement.md","sprint-144.3a-r1-capability-event-contracts-governance-evolution-representation-boundary-refinement.md","docs","sprint","8225"
"sprint-144.4-capability-contracts-certification.md","sprint-144.4-capability-contracts-certification.md","docs","sprint","6531"
"sprint-144.4-r1-capability-contracts-governance-evolution-boundary-refinement.md","sprint-144.4-r1-capability-contracts-governance-evolution-boundary-refinement.md","docs","sprint","8380"
"sprint-144.4-r2-capability-contracts-universal-surface-governance-composition-refinement.md","sprint-144.4-r2-capability-contracts-universal-surface-governance-composition-refinement.md","docs","sprint","7597"
"sprint-144.5-alert-capability-final-architecture-certification.md","sprint-144.5-alert-capability-final-architecture-certification.md","docs","sprint","5830"
"sprint-144.5-r1-alert-capability-final-governance-refinement.md","sprint-144.5-r1-alert-capability-final-governance-refinement.md","docs","sprint","7818"
"sprint-144.6-alert-capability-final-closure-governance-lock-certification.md","sprint-144.6-alert-capability-final-closure-governance-lock-certification.md","docs","sprint","7563"
"sprint-144.6-r1-alert-capability-governance-preservation-architectural-integrity-certification.md","sprint-144.6-r1-alert-capability-governance-preservation-architectural-integrity-certification.md","docs","sprint","7240"
"sprint-144.6-r10-alert-capability-governance-reference-model-universal-capability-standard-certification.md","sprint-144.6-r10-alert-capability-governance-reference-model-universal-capability-standard-certification.md","docs","sprint","7770"
"sprint-144.6-r11-alert-capability-universal-governance-template-capability-replication-certification.md","sprint-144.6-r11-alert-capability-universal-governance-template-capability-replication-certification.md","docs","sprint","6302"
"sprint-144.6-r2-alert-capability-architectural-immutability-future-extension-governance-certification.md","sprint-144.6-r2-alert-capability-architectural-immutability-future-extension-governance-certification.md","docs","sprint","8536"
"sprint-144.6-r3-alert-capability-certified-extension-framework-governance-admission-certification.md","sprint-144.6-r3-alert-capability-certified-extension-framework-governance-admission-certification.md","docs","sprint","7235"
"sprint-144.6-r4-alert-capability-architectural-admission-certified-extension-lifecycle-certification.md","sprint-144.6-r4-alert-capability-architectural-admission-certified-extension-lifecycle-certification.md","docs","sprint","6622"
"sprint-144.6-r5-alert-capability-architectural-authority-extension-admission-governance-certification.md","sprint-144.6-r5-alert-capability-architectural-authority-extension-admission-governance-certification.md","docs","sprint","6268"
"sprint-144.6-r5.1-alert-capability-architectural-authority-hardening-governance-determinism-certification.md","sprint-144.6-r5.1-alert-capability-architectural-authority-hardening-governance-determinism-certification.md","docs","sprint","8776"
"sprint-144.6-r6-alert-capability-governance-constitution-architectural-continuity-certification.md","sprint-144.6-r6-alert-capability-governance-constitution-architectural-continuity-certification.md","docs","sprint","7871"
"sprint-144.6-r7-alert-capability-architectural-maturity-governance-completeness-certification.md","sprint-144.6-r7-alert-capability-architectural-maturity-governance-completeness-certification.md","docs","sprint","7674"
"sprint-144.6-r8-alert-capability-architectural-invariants-governance-enforcement-certification.md","sprint-144.6-r8-alert-capability-architectural-invariants-governance-enforcement-certification.md","docs","sprint","8063"
"sprint-144.6-r9-alert-capability-continuous-governance-validation-architectural-compliance-assurance-certification.md","sprint-144.6-r9-alert-capability-continuous-governance-validation-architectural-compliance-assurance-certification.md","docs","sprint","7841"
"sprint-144.r1-alert-capability-governance-alignment-domain-generalization-refinement.md","sprint-144.r1-alert-capability-governance-alignment-domain-generalization-refinement.md","docs","sprint","6618"
"sprint-145-alert-capability-operational-foundation-certification.md","sprint-145-alert-capability-operational-foundation-certification.md","docs","sprint","4185"
"sprint-146-alert-capability-runtime-activation-governance-certification.md","sprint-146-alert-capability-runtime-activation-governance-certification.md","docs","sprint","4576"
"sprint-147-alert-capability-event-architecture-governance-certification.md","sprint-147-alert-capability-event-architecture-governance-certification.md","docs","sprint","5297"
"sprint-148-alert-capability-decision-engine-governance-certification.md","sprint-148-alert-capability-decision-engine-governance-certification.md","docs","sprint","5024"
"sprint-149-alert-capability-policy-governance-certification.md","sprint-149-alert-capability-policy-governance-certification.md","docs","sprint","4885"
"sprint-150-alert-capability-response-governance-certification.md","sprint-150-alert-capability-response-governance-certification.md","docs","sprint","5978"
"sprint-151-alert-capability-operational-domain-architecture-implementation.md","sprint-151-alert-capability-operational-domain-architecture-implementation.md","docs","sprint","6121"
"sprint-151.1-alert-capability-operational-foundation-refinement-structural-hardening.md","sprint-151.1-alert-capability-operational-foundation-refinement-structural-hardening.md","docs","sprint","6228"
"sprint-152-alert-capability-contract-architecture-implementation.md","sprint-152-alert-capability-contract-architecture-implementation.md","docs","sprint","7296"
"sprint-153-alert-capability-registry-integration-preparation.md","sprint-153-alert-capability-registry-integration-preparation.md","docs","sprint","6170"
"sprint-154-alert-capability-runtime-integration-foundation.md","sprint-154-alert-capability-runtime-integration-foundation.md","docs","sprint","5322"
"sprint-155-alert-capability-event-consumption-foundation.md","sprint-155-alert-capability-event-consumption-foundation.md","docs","sprint","5283"
"sprint-156-alert-capability-decision-context-foundation.md","sprint-156-alert-capability-decision-context-foundation.md","docs","sprint","5162"
"sprint-157-alert-capability-policy-evaluation-foundation.md","sprint-157-alert-capability-policy-evaluation-foundation.md","docs","sprint","6035"
"sprint-158-alert-capability-response-architecture-foundation.md","sprint-158-alert-capability-response-architecture-foundation.md","docs","sprint","6675"
"sprint-159-alert-capability-operational-readiness-consolidation.md","sprint-159-alert-capability-operational-readiness-consolidation.md","docs","sprint","7984"
"sprint-160-alert-capability-activation-governance-foundation.md","sprint-160-alert-capability-activation-governance-foundation.md","docs","sprint","7652"
"sprint-161-alert-capability-registry-registration-foundation.md","sprint-161-alert-capability-registry-registration-foundation.md","docs","sprint","6600"
"sprint-162-alert-capability-architecture-consolidation.md","sprint-162-alert-capability-architecture-consolidation.md","docs","sprint","9951"
"sprint-163-alert-capability-controlled-activation-design.md","sprint-163-alert-capability-controlled-activation-design.md","docs","sprint","8127"
"sprint-164-alert-capability-integration-design-foundation.md","sprint-164-alert-capability-integration-design-foundation.md","docs","sprint","8214"
"sprint-165-alert-capability-ecosystem-architecture-consolidation.md","sprint-165-alert-capability-ecosystem-architecture-consolidation.md","docs","sprint","7690"
"sprint-166-alert-capability-architectural-governance-master-certification.md","sprint-166-alert-capability-architectural-governance-master-certification.md","docs","sprint","7257"
"sprint-167-alert-capability-controlled-activation-implementation.md","sprint-167-alert-capability-controlled-activation-implementation.md","docs","sprint","6816"
"sprint-168-alert-capability-controlled-registry-integration.md","sprint-168-alert-capability-controlled-registry-integration.md","docs","sprint","7038"
"sprint-169-alert-capability-controlled-runtime-exposure.md","sprint-169-alert-capability-controlled-runtime-exposure.md","docs","sprint","7271"
"sprint-169-dashboard-architecture-audit-ux-consolidation.md","sprint-169-dashboard-architecture-audit-ux-consolidation.md","docs","sprint","13643"
"sprint-170-alert-capability-controlled-event-consumption.md","sprint-170-alert-capability-controlled-event-consumption.md","docs","sprint","7629"
"sprint-171-alert-capability-controlled-decision-context.md","sprint-171-alert-capability-controlled-decision-context.md","docs","sprint","8103"
"sprint-172-alert-capability-controlled-policy-evaluation.md","sprint-172-alert-capability-controlled-policy-evaluation.md","docs","sprint","8350"
"sprint-173-alert-capability-controlled-response-preparation.md","sprint-173-alert-capability-controlled-response-preparation.md","docs","sprint","8577"
"sprint-174-alert-capability-operational-integration-completion.md","sprint-174-alert-capability-operational-integration-completion.md","docs","sprint","6422"
"sprint-174b-alert-capability-runtime-integration-module-assignment.md","sprint-174b-alert-capability-runtime-integration-module-assignment.md","docs","sprint","9176"
"sprint-175-alert-capability-operational-rendering-enterprise-activation.md","sprint-175-alert-capability-operational-rendering-enterprise-activation.md","docs","sprint","7810"
"sprint-176-alert-capability-experience-registration-runtime-resolution.md","sprint-176-alert-capability-experience-registration-runtime-resolution.md","docs","sprint","10842"
"sprint-177-alert-capability-experience-exposure-module-configuration.md","sprint-177-alert-capability-experience-exposure-module-configuration.md","docs","sprint","8140"
"sprint-178-alert-capability-dynamic-runtime-binding-renderer-integration.md","sprint-178-alert-capability-dynamic-runtime-binding-renderer-integration.md","docs","sprint","8172"
"sprint-179-alert-capability-enterprise-activation-operational-validation.md","sprint-179-alert-capability-enterprise-activation-operational-validation.md","docs","sprint","10048"
"sprint-180-alert-capability-operational-configuration-runtime-alert-consumption.md","sprint-180-alert-capability-operational-configuration-runtime-alert-consumption.md","docs","sprint","8695"
"sprint-180-alert-capability-operational-configuration-runtime-consumption-audit.md","sprint-180-alert-capability-operational-configuration-runtime-consumption-audit.md","docs","sprint","5776"
"sprint-180-alert-capability-runtime-consumption-layer-operational-renderer-integration.md","sprint-180-alert-capability-runtime-consumption-layer-operational-renderer-integration.md","docs","sprint","9310"
"sprint-180-r-alert-capability-operational-configuration-runtime-consumption-refinement.md","sprint-180-r-alert-capability-operational-configuration-runtime-consumption-refinement.md","docs","sprint","4884"
"sprint-181-alert-capability-operational-visibility-integration.md","sprint-181-alert-capability-operational-visibility-integration.md","docs","sprint","3869"
"sprint-181-alert-capability-operational-workspace-context-navigation.md","sprint-181-alert-capability-operational-workspace-context-navigation.md","docs","sprint","3898"
"sprint-182-alert-capability-operational-workspace-context-navigation.md","sprint-182-alert-capability-operational-workspace-context-navigation.md","docs","sprint","5347"
"sprint-182-r-alert-capability-operational-workspace-refinement.md","sprint-182-r-alert-capability-operational-workspace-refinement.md","docs","sprint","4243"
"sprint-183-alert-capability-level-4-close-out-end-to-end-certification.md","sprint-183-alert-capability-level-4-close-out-end-to-end-certification.md","docs","sprint","8063"
"sprint-184-alert-capability-operational-ui-consumption-finalization.md","sprint-184-alert-capability-operational-ui-consumption-finalization.md","docs","sprint","7726"
"sprint-185-alert-capability-operational-runtime-binding-finalization.md","sprint-185-alert-capability-operational-runtime-binding-finalization.md","docs","sprint","7923"
"sprint-186-alert-capability-operational-resource-integrity-audit.md","sprint-186-alert-capability-operational-resource-integrity-audit.md","docs","sprint","6558"
"sprint-187-alert-capability-operational-navigation-consolidation.md","sprint-187-alert-capability-operational-navigation-consolidation.md","docs","sprint","5071"
"sprint-188-alert-capability-route-resolution-existing-navigation-binding-certification.md","sprint-188-alert-capability-route-resolution-existing-navigation-binding-certification.md","docs","sprint","6373"
"sprint-189-alert-capability-context-navigation-decoupling.md","sprint-189-alert-capability-context-navigation-decoupling.md","docs","sprint","5504"
"sprint-190-dynamic-module-one-shot-navigation-consumption.md","sprint-190-dynamic-module-one-shot-navigation-consumption.md","docs","sprint","5616"
"sprint-191-alert-capability-operational-navigation-state-audit.md","sprint-191-alert-capability-operational-navigation-state-audit.md","docs","sprint","8241"
"sprint-193-dashboard-alert-runtime-performance-audit.md","sprint-193-dashboard-alert-runtime-performance-audit.md","docs","sprint","11862"
"sprint-194-dashboard-runtime-shared-data-consolidation.md","sprint-194-dashboard-runtime-shared-data-consolidation.md","docs","sprint","11898"
"sprint-195-dashboard-runtime-query-consolidation.md","sprint-195-dashboard-runtime-query-consolidation.md","docs","sprint","4990"
"sprint-196-alert-capability-configuration-model-audit.md","sprint-196-alert-capability-configuration-model-audit.md","docs","sprint","12199"
"sprint-197-alert-configuration-metadata-foundation.md","sprint-197-alert-configuration-metadata-foundation.md","docs","sprint","5484"
"sprint-198-alert-configuration-runtime-integration.md","sprint-198-alert-configuration-runtime-integration.md","docs","sprint","5025"
"sprint-198R-alert-configuration-runtime-hardening.md","sprint-198R-alert-configuration-runtime-hardening.md","docs","sprint","4687"
"sprint-198R2-alert-configuration-boundary-certification.md","sprint-198R2-alert-configuration-boundary-certification.md","docs","sprint","4666"
"sprint-198R3-alert-evaluation-extension-point-certification.md","sprint-198R3-alert-evaluation-extension-point-certification.md","docs","sprint","3929"
